,token,oc_list
32,mil,"[(1, 1), (2, 2), (17, 1), (35, 1), (44, 3), (70, 1), (75, 4), (78, 1), (91, 1), (93, 1), (106, 1), (118, 1), (124, 3), (134, 1)]"
33,pessoas,"[(1, 1), (4, 2), (5, 4), (6, 1), (9, 1), (10, 1), (15, 3), (18, 3), (19, 3), (29, 2), (35, 1), (44, 1), (50, 8), (52, 1), (56, 2), (64, 1), (70, 9), (71, 1), (73, 1), (75, 2), (78, 2), (83, 1), (87, 1), (91, 3), (94, 1), (98, 1), (99, 14), (101, 2), (109, 3), (111, 1), (118, 10), (120, 1), (122, 1), (126, 1), (140, 2)]"
34,pena,"[(1, 3), (6, 1), (56, 1), (89, 1), (91, 1), (119, 1), (120, 2)]"
35,requerida,"[(1, 1)]"
36,promotoria,"[(1, 1)]"
37,paulista,"[(1, 1), (51, 1), (93, 1), (98, 1), (117, 1), (120, 1), (123, 1)]"
38,é,"[(1, 12), (2, 3), (4, 6), (5, 8), (6, 7), (9, 4), (10, 1), (15, 9), (16, 6), (17, 4), (18, 7), (19, 4), (28, 1), (29, 10), (34, 1), (35, 3), (37, 2), (39, 10), (43, 6), (44, 6), (45, 3), (46, 5), (47, 7), (49, 2), (50, 25), (51, 12), (52, 2), (53, 5), (54, 3), (56, 11), (59, 2), (60, 2), (61, 1), (63, 6), (64, 2), (65, 15), (69, 2), (70, 22), (71, 2), (72, 1), (73, 4), (75, 4), (76, 1), (78, 2), (83, 11), (86, 6), (87, 1), (89, 15), (91, 4), (93, 5), (94, 3), (98, 11), (101, 2), (104, 1), (105, 3), (106, 2), (108, 9), (109, 10), (110, 2), (111, 22), (112, 5), (114, 1), (117, 4), (118, 35), (119, 2), (120, 16), (121, 2), (122, 8), (124, 8), (125, 2), (126, 12), (128, 6), (129, 1), (132, 2), (133, 9), (136, 7), (137, 8), (138, 5), (139, 8), (140, 5), (141, 3), (142, 4), (145, 1)]"
39,dois,"[(1, 3), (5, 1), (17, 1), (18, 4), (19, 1), (29, 2), (50, 1), (51, 3), (56, 1), (59, 2), (70, 1), (75, 3), (83, 1), (86, 2), (89, 2), (91, 2), (98, 1), (101, 1), (105, 2), (120, 1), (123, 1), (140, 1)]"
40,anos,"[(1, 4), (2, 3), (5, 1), (10, 3), (15, 3), (16, 2), (17, 2), (18, 4), (37, 3), (44, 2), (46, 2), (50, 3), (51, 3), (56, 10), (59, 1), (63, 1), (65, 1), (66, 1), (70, 3), (73, 1), (75, 2), (86, 1), (89, 1), (91, 4), (94, 4), (98, 8), (103, 1), (105, 4), (106, 1), (107, 1), (108, 2), (109, 1), (118, 6), (120, 2), (124, 4), (125, 1), (126, 1), (129, 3), (136, 1), (140, 1), (142, 2)]"
41,detenção,"[(1, 2), (75, 1)]"
42,episódio,"[(1, 2), (19, 3), (70, 4), (98, 2), (128, 1), (136, 1)]"
43,ocorreu,"[(1, 2), (17, 1), (64, 1), (120, 2), (136, 1)]"
44,final,"[(1, 1), (15, 1), (44, 2), (47, 2), (70, 1), (71, 1), (98, 4), (101, 1), (105, 1), (119, 2), (125, 2)]"
45,número,"[(1, 1), (4, 2), (15, 1), (37, 1), (51, 1), (65, 1), (101, 1), (111, 1), (112, 1)]"
46,parado,"[(1, 1), (107, 1)]"
47,janeiro,"[(1, 2), (10, 1), (19, 1), (45, 1), (48, 2), (56, 3), (65, 1), (69, 1), (75, 1), (86, 1), (91, 1), (93, 1), (98, 1), (99, 2), (101, 1), (102, 1), (104, 1), (109, 2), (117, 1), (118, 2), (121, 1), (124, 1), (134, 1), (137, 2), (141, 1), (142, 1)]"
48,deste,"[(1, 3), (29, 1), (50, 2), (52, 1), (54, 2), (59, 1), (93, 1), (125, 1), (128, 1), (133, 1), (134, 1), (141, 1)]"
49,ano,"[(1, 4), (5, 2), (9, 1), (17, 1), (18, 2), (29, 2), (43, 1), (44, 1), (46, 1), (49, 1), (51, 2), (64, 1), (65, 1), (70, 1), (78, 1), (91, 2), (94, 1), (98, 3), (105, 1), (117, 2), (118, 1), (120, 5), (123, 2), (124, 1), (126, 2), (132, 1), (133, 1), (134, 1), (136, 2), (141, 5), (145, 1)]"
50,porque,"[(1, 1), (9, 2), (10, 2), (15, 4), (17, 2), (19, 2), (29, 1), (39, 2), (43, 1), (45, 2), (47, 1), (48, 1), (50, 9), (51, 2), (54, 1), (56, 9), (63, 2), (64, 1), (65, 1), (70, 1), (71, 1), (73, 2), (83, 5), (86, 3), (94, 3), (99, 17), (108, 2), (109, 2), (111, 4), (118, 13), (120, 6), (122, 1), (133, 2), (134, 1), (137, 3), (146, 1)]"
51,advogados,"[(1, 1), (2, 1), (98, 1), (99, 1), (120, 2), (129, 1), (142, 1)]"
52,ofendida,"[(1, 2), (19, 1)]"
53,levaram,"[(1, 1), (50, 1), (56, 3), (89, 1)]"
54,quase,"[(1, 1), (2, 1), (15, 1), (17, 1), (29, 2), (43, 1), (44, 1), (46, 1), (64, 1), (70, 1), (75, 1), (86, 1), (94, 1), (106, 1), (109, 1), (118, 1), (123, 1), (125, 1), (126, 1), (137, 1), (140, 1)]"
55,conseguir,"[(1, 2), (49, 1), (59, 1), (70, 2), (118, 1), (136, 1)]"
56,entregar,"[(1, 1), (89, 1), (108, 1)]"
57,citação,"[(1, 1), (18, 1)]"
58,réu,"[(1, 3), (2, 1), (89, 1)]"
59,conhecido,"[(1, 1), (10, 1), (19, 2), (70, 1), (89, 1), (91, 1), (98, 1), (99, 1), (108, 1), (109, 2), (126, 1), (136, 1), (140, 1), (141, 1)]"
60,defensor,"[(1, 1), (6, 1), (10, 1), (99, 1), (126, 1)]"
61,ideais,"[(1, 1), (126, 1)]"
62,direita,"[(1, 1), (15, 1), (47, 2), (50, 2), (70, 2), (76, 1), (99, 14), (106, 1), (109, 12), (110, 1), (129, 1), (141, 1)]"
63,governo,"[(1, 4), (2, 3), (4, 1), (5, 3), (6, 2), (10, 1), (16, 1), (17, 2), (35, 1), (39, 6), (44, 3), (45, 8), (50, 7), (54, 2), (60, 6), (63, 1), (64, 2), (65, 5), (66, 1), (73, 2), (75, 7), (76, 1), (78, 1), (83, 1), (86, 1), (89, 3), (91, 2), (93, 2), (94, 1), (98, 11), (99, 5), (101, 4), (105, 3), (107, 1), (108, 6), (111, 2), (118, 5), (120, 3), (122, 4), (123, 1), (129, 2), (133, 2), (134, 5), (136, 6), (137, 2), (141, 1), (146, 1)]"
64,jair,"[(1, 1), (5, 1), (10, 1), (15, 3), (17, 1), (19, 2), (37, 3), (43, 2), (45, 1), (47, 2), (50, 1), (54, 1), (65, 1), (66, 1), (70, 1), (71, 2), (72, 1), (73, 1), (75, 1), (76, 2), (89, 1), (94, 1), (98, 2), (99, 1), (105, 2), (108, 1), (110, 1), (111, 1), (117, 1), (119, 1), (121, 1), (123, 1), (125, 1), (129, 2), (134, 1), (136, 2), (137, 1), (139, 1), (142, 1)]"
65,bolsonaro,"[(1, 1), (5, 1), (10, 3), (15, 6), (17, 1), (19, 3), (29, 2), (32, 1), (37, 5), (39, 1), (43, 2), (44, 2), (45, 6), (47, 2), (50, 5), (53, 1), (54, 1), (60, 1), (65, 3), (66, 4), (70, 4), (71, 2), (72, 1), (73, 5), (75, 7), (76, 2), (86, 3), (89, 2), (91, 1), (93, 1), (94, 1), (98, 8), (99, 17), (101, 6), (105, 8), (107, 2), (108, 2), (110, 2), (111, 4), (117, 1), (119, 2), (121, 1), (122, 1), (123, 1), (125, 1), (127, 1), (129, 3), (133, 1), (134, 1), (136, 8), (137, 6), (139, 3), (142, 4)]"
66,durante,"[(1, 1), (2, 1), (10, 1), (29, 1), (35, 1), (37, 3), (39, 1), (45, 1), (46, 1), (47, 1), (48, 1), (49, 1), (50, 1), (59, 1), (64, 1), (65, 1), (70, 4), (73, 1), (75, 2), (91, 3), (98, 3), (109, 5), (120, 1), (122, 1), (124, 1), (126, 2), (129, 4), (136, 1)]"
67,tempo,"[(1, 1), (4, 1), (16, 1), (18, 1), (19, 1), (29, 1), (35, 1), (39, 1), (56, 1), (60, 1), (73, 3), (75, 3), (83, 1), (86, 1), (98, 1), (99, 2), (105, 1), (107, 1), (108, 1), (118, 1), (119, 1), (126, 1), (139, 1), (140, 1)]"
68,oficiais,"[(1, 1), (43, 1), (66, 1), (75, 1)]"
69,buscaram,"[(1, 1)]"
70,endereços,"[(1, 1)]"
71,constantes,"[(1, 1), (75, 1)]"
72,contas,"[(1, 1), (4, 2), (45, 1), (60, 1), (64, 1), (71, 1), (124, 1)]"
73,telefone,"[(1, 1), (98, 1), (111, 1)]"
74,celular,"[(1, 1), (6, 1), (105, 1)]"
75,outros,"[(1, 1), (4, 1), (5, 1), (6, 2), (10, 1), (15, 1), (19, 1), (29, 3), (32, 1), (35, 2), (44, 1), (47, 1), (50, 1), (69, 2), (70, 1), (91, 1), (94, 1), (98, 1), (99, 2), (106, 1), (111, 3), (117, 1), (118, 1), (119, 1), (120, 1), (124, 1), (129, 3), (134, 1), (138, 1)]"
76,serviços,"[(1, 1), (4, 1), (5, 1), (16, 1), (75, 1), (109, 1), (134, 1)]"
77,casa,"[(1, 1), (2, 1), (18, 1), (19, 1), (29, 2), (37, 1), (50, 2), (51, 1), (56, 8), (69, 1), (91, 1), (94, 1), (98, 1), (117, 1), (118, 5), (119, 4), (136, 4)]"
78,mãe,"[(1, 1), (19, 2), (39, 1), (50, 1), (52, 1), (56, 10), (70, 2), (94, 2), (108, 1), (122, 1)]"
79,disse,"[(1, 2), (2, 1), (10, 1), (17, 1), (18, 3), (19, 3), (22, 1), (28, 2), (29, 3), (35, 3), (39, 2), (46, 1), (47, 2), (49, 1), (50, 1), (56, 2), (64, 3), (73, 1), (82, 1), (83, 1), (87, 1), (89, 5), (94, 3), (98, 3), (99, 1), (107, 1), (108, 2), (109, 2), (110, 1), (111, 1), (123, 2), (125, 1), (126, 2), (136, 1), (137, 1), (140, 1), (142, 2)]"
80,filho,"[(1, 1), (2, 1), (15, 2), (16, 1), (19, 1), (50, 3), (65, 2), (72, 1), (75, 2), (76, 1), (91, 5)]"
81,mudado,"[(1, 1), (50, 3), (94, 1)]"
82,dali,"[(1, 1)]"
83,sabia,"[(1, 1), (18, 1), (29, 1), (56, 2), (94, 2), (118, 2), (137, 1)]"
84,onde,"[(1, 1), (4, 1), (10, 1), (15, 1), (17, 1), (19, 1), (35, 1), (39, 1), (43, 1), (50, 2), (51, 3), (56, 5), (59, 2), (60, 1), (65, 1), (70, 1), (71, 1), (75, 1), (86, 3), (89, 1), (91, 4), (94, 1), (98, 1), (99, 1), (107, 1), (117, 1), (121, 1), (123, 2), (136, 1), (137, 1), (139, 1)]"
85,nunca,"[(1, 1), (2, 2), (5, 1), (10, 2), (19, 1), (37, 1), (48, 2), (50, 2), (56, 8), (59, 2), (64, 3), (66, 2), (71, 1), (73, 1), (89, 1), (94, 1), (98, 3), (105, 1), (110, 2), (111, 1), (118, 7), (133, 1), (139, 1)]"
86,encontrá-lo,"[(1, 1)]"
87,passou,"[(1, 1), (18, 1), (46, 1), (50, 2), (56, 4), (59, 1), (73, 1), (75, 2), (89, 1), (98, 1), (105, 1), (111, 1), (118, 3), (119, 1), (121, 1)]"
88,ser,"[(1, 2), (2, 2), (4, 1), (5, 1), (6, 2), (9, 1), (10, 1), (15, 2), (16, 2), (17, 3), (19, 2), (29, 2), (37, 3), (39, 1), (44, 2), (45, 3), (46, 1), (49, 1), (50, 6), (51, 1), (52, 1), (56, 2), (59, 1), (60, 4), (66, 1), (70, 1), (71, 2), (73, 1), (75, 4), (76, 1), (83, 5), (86, 1), (87, 1), (89, 1), (91, 2), (93, 2), (94, 3), (98, 6), (99, 6), (101, 1), (105, 1), (106, 1), (108, 6), (111, 9), (117, 1), (118, 6), (119, 1), (120, 6), (121, 1), (122, 1), (123, 1), (126, 6), (128, 1), (133, 3), (137, 4), (139, 1), (142, 1)]"
89,parte,"[(1, 2), (2, 1), (15, 2), (32, 1), (37, 1), (46, 1), (49, 2), (50, 4), (56, 2), (65, 1), (70, 1), (71, 1), (73, 2), (75, 2), (83, 1), (89, 2), (93, 1), (94, 2), (98, 1), (99, 5), (101, 1), (106, 1), (109, 1), (117, 1), (123, 1), (124, 1), (126, 1), (129, 1)]"
90,outra,"[(1, 1), (16, 1), (29, 2), (39, 1), (44, 1), (50, 2), (75, 2), (83, 1), (86, 3), (94, 1), (98, 1), (99, 2), (108, 1), (111, 1), (118, 5), (120, 1), (126, 1), (133, 1)]"
91,ação,"[(1, 1), (5, 1), (65, 1), (73, 1), (75, 1), (89, 6), (98, 3), (118, 1), (142, 1)]"
92,judicial,"[(1, 2), (2, 1), (120, 1), (124, 1), (125, 1)]"
93,ali,"[(1, 1), (19, 1), (50, 2), (56, 1), (73, 1), (93, 1), (110, 1), (118, 2)]"
94,informando,"[(1, 1)]"
95,endereço,"[(1, 1), (56, 1)]"
96,fato,"[(1, 3), (35, 1), (39, 1), (43, 1), (45, 2), (50, 1), (56, 1), (70, 1), (71, 2), (86, 1), (98, 1), (99, 1), (111, 1), (118, 2), (122, 1), (126, 3), (133, 1), (137, 1), (138, 2)]"
97,neste,"[(1, 2), (4, 1), (10, 2), (45, 1), (50, 2), (66, 3), (86, 1), (101, 3), (109, 3), (120, 2), (123, 1), (136, 1), (137, 1), (142, 1)]"
98,citou,"[(1, 1), (19, 1), (99, 1)]"
99,deu,"[(1, 2), (2, 1), (29, 2), (35, 1), (50, 3), (65, 3), (66, 1), (67, 1), (91, 1), (94, 3), (107, 1)]"
100,andamento,"[(1, 1)]"
101,queixa,"[(1, 2), (19, 1)]"
102,crime,"[(1, 3), (2, 1), (5, 1), (10, 1), (18, 1), (19, 2), (29, 1), (45, 1), (64, 1), (75, 2), (89, 1), (91, 2), (98, 3), (111, 2), (118, 4), (120, 2), (132, 1), (145, 1)]"
103,contra,"[(1, 4), (9, 2), (10, 1), (15, 2), (16, 4), (19, 1), (35, 1), (43, 1), (45, 1), (46, 2), (47, 2), (50, 2), (56, 1), (64, 2), (65, 1), (66, 1), (70, 1), (73, 1), (75, 1), (83, 2), (89, 1), (91, 2), (94, 1), (98, 1), (99, 3), (109, 2), (111, 2), (117, 1), (120, 5), (123, 1), (128, 1), (129, 4), (133, 4), (136, 2), (141, 1)]"
104,virtude,"[(1, 1), (75, 1)]"
105,respeito,"[(1, 1), (16, 1), (29, 1), (50, 1), (52, 1), (56, 2), (99, 1), (111, 1), (120, 1)]"
106,racismo,"[(1, 3), (19, 1), (128, 1)]"
107,ocorrido,"[(1, 2), (98, 1), (111, 1), (124, 2), (129, 1)]"
108,faculdade,"[(1, 6), (50, 1), (56, 1)]"
109,direito,"[(1, 6), (2, 2), (5, 2), (6, 1), (16, 2), (19, 1), (29, 1), (46, 1), (50, 1), (51, 1), (56, 2), (89, 1), (93, 2), (99, 2), (108, 1), (111, 9), (112, 1), (119, 1), (120, 3), (128, 1), (133, 1), (136, 2), (141, 2), (142, 1)]"
110,usp,"[(1, 3), (56, 1)]"
111,ribeirão,"[(1, 3)]"
112,preto,"[(1, 4), (118, 3)]"
113,nele,"[(1, 1), (46, 1), (56, 1)]"
114,referia,"[(1, 1), (52, 1)]"
115,negra,"[(1, 1), (50, 1), (99, 1), (101, 1), (117, 1), (118, 3)]"
116,havia,"[(1, 1), (2, 1), (10, 2), (29, 2), (35, 1), (46, 1), (47, 1), (56, 3), (65, 1), (70, 1), (73, 1), (75, 1), (86, 1), (89, 1), (94, 2), (98, 1), (99, 5), (101, 1), (111, 1), (118, 2), (119, 1), (120, 2), (121, 1), (122, 1), (137, 1), (141, 1), (142, 1)]"
117,tomado,"[(1, 1)]"
118,protestos,"[(1, 1), (107, 1), (109, 1), (117, 1), (141, 1)]"
119,manifestação,"[(1, 1), (10, 1), (64, 1), (89, 1), (109, 1), (120, 1), (123, 1), (128, 2), (134, 1), (136, 1)]"
120,racista,"[(1, 1), (50, 1), (118, 1), (122, 1)]"
121,palavras,"[(1, 2), (9, 1), (18, 1), (29, 1), (75, 1), (94, 1), (108, 1), (122, 1)]"
122,ensejaram,"[(1, 1)]"
123,quer,"[(1, 2), (2, 1), (15, 1), (18, 1), (29, 3), (50, 2), (65, 1), (70, 2), (71, 1), (73, 1), (86, 2), (89, 1), (93, 1), (94, 1), (108, 2), (109, 1), (111, 2), (137, 2)]"
124,fazer,"[(1, 1), (10, 1), (15, 1), (16, 1), (19, 2), (29, 2), (45, 2), (46, 1), (50, 7), (51, 2), (56, 5), (59, 1), (63, 1), (65, 2), (70, 1), (83, 1), (86, 1), (89, 1), (93, 2), (94, 2), (98, 1), (99, 6), (105, 1), (107, 1), (108, 1), (118, 6), (124, 1), (126, 1), (128, 1), (133, 1), (137, 1)]"
125,coitada,"[(1, 1), (49, 1), (133, 1)]"
126,mamar,"[(1, 3)]"
127,tetas,"[(1, 3)]"
128,claro,"[(1, 2), (43, 2), (46, 1), (50, 1), (51, 3), (71, 1), (83, 1), (93, 1), (111, 2), (117, 1), (120, 2), (128, 1), (129, 1)]"
129,chama,"[(1, 1), (29, 1), (99, 1), (109, 1), (110, 1)]"
130,vítima,"[(1, 5), (46, 1), (56, 1), (70, 1), (117, 2), (120, 2)]"
131,duas,"[(1, 1), (5, 1), (37, 1), (50, 1), (51, 1), (56, 2), (65, 1), (69, 1), (71, 1), (99, 1), (111, 1), (118, 1), (120, 2), (132, 1), (137, 1), (140, 1)]"
132,determinação,"[(1, 1), (37, 1), (66, 1), (111, 1)]"
133,material,"[(1, 3), (16, 1), (32, 1), (44, 1), (51, 1), (94, 1), (107, 1)]"
134,excluído,"[(1, 1)]"
135,youtube,"[(1, 3), (70, 2), (85, 3), (97, 1), (117, 1)]"
136,segue,"[(1, 1), (10, 1), (75, 1), (86, 1), (93, 1), (101, 1), (105, 1), (117, 1), (121, 1), (123, 1), (133, 1), (140, 1)]"
137,anexado,"[(1, 1)]"
138,autos,"[(1, 1)]"
139,processuais,"[(1, 1)]"
140,dcm,"[(1, 1), (18, 1), (19, 1), (56, 1), (85, 2), (99, 1)]"
141,vai,"[(1, 1), (17, 3), (34, 1), (43, 1), (45, 1), (49, 1), (50, 2), (59, 1), (65, 5), (71, 2), (86, 4), (93, 1), (98, 1), (99, 5), (105, 1), (107, 1), (108, 1), (111, 6), (117, 1), (118, 7), (121, 1), (122, 1), (127, 1), (133, 1), (134, 2), (137, 1), (139, 1), (141, 1)]"
142,declinar,"[(1, 1)]"
143,nome,"[(1, 1), (2, 6), (5, 2), (15, 1), (16, 2), (47, 1), (65, 1), (69, 1), (75, 1), (89, 2), (94, 1), (99, 3), (105, 1), (109, 1), (133, 1), (139, 1), (141, 5)]"
144,instaurou,"[(1, 1), (83, 1)]"
145,dia,"[(1, 2), (2, 1), (5, 4), (6, 1), (15, 3), (29, 1), (37, 1), (45, 1), (46, 1), (56, 10), (65, 1), (66, 1), (69, 1), (70, 2), (73, 2), (85, 1), (86, 1), (91, 4), (94, 1), (98, 1), (99, 3), (105, 1), (107, 1), (109, 1), (110, 1), (111, 1), (117, 16), (118, 9), (120, 2), (121, 1), (122, 2), (123, 2), (124, 1), (126, 2), (134, 6), (139, 1)]"
146,protocolou,"[(1, 1), (141, 1)]"
147,petição,"[(1, 1), (124, 1)]"
148,cuida,"[(1, 1), (29, 1), (118, 1)]"
149,caso,"[(1, 2), (2, 2), (4, 1), (5, 2), (18, 3), (19, 1), (35, 1), (44, 1), (46, 1), (48, 1), (60, 1), (73, 1), (75, 2), (76, 1), (83, 2), (89, 3), (91, 1), (99, 2), (107, 1), (109, 2), (117, 1), (118, 2), (119, 2), (120, 6), (121, 1), (124, 1), (132, 1), (136, 2), (139, 1)]"
150,requerendo,"[(1, 1)]"
151,condenação,"[(1, 1), (64, 1), (89, 1), (98, 1), (111, 1), (118, 3), (120, 3)]"
152,crimes,"[(1, 1), (19, 1), (47, 1), (91, 1), (98, 1), (133, 1), (142, 1)]"
153,acusado,"[(1, 1), (2, 1), (45, 1), (91, 5), (98, 1), (106, 1), (120, 1)]"
154,conforme,"[(1, 1), (60, 1), (75, 1), (98, 1), (136, 1), (141, 1)]"
155,despachou,"[(1, 1)]"
156,promotora,"[(1, 1)]"
157,juliana,"[(1, 1)]"
158,l,"[(1, 1), (99, 2)]"
159,b,"[(1, 1), (65, 4)]"
160,magalhães,"[(1, 1), (50, 1)]"
161,agente,"[(1, 2), (45, 1)]"
162,injuriou,"[(1, 1)]"
163,chamando-a,"[(1, 1)]"
164,ademais,"[(1, 1)]"
165,outro,"[(1, 1), (2, 1), (4, 1), (5, 1), (19, 1), (29, 1), (44, 1), (46, 1), (56, 1), (71, 1), (75, 1), (78, 1), (83, 1), (86, 1), (89, 1), (91, 1), (94, 1), (99, 3), (101, 1), (111, 2), (118, 3), (120, 2), (123, 1), (126, 2), (133, 1), (139, 1)]"
166,momento,"[(1, 1), (15, 1), (16, 1), (17, 1), (39, 2), (50, 1), (52, 1), (56, 1), (65, 3), (66, 2), (70, 1), (75, 1), (83, 2), (94, 1), (95, 1), (98, 1), (99, 4), (101, 1), (109, 1), (111, 1), (118, 1), (120, 2), (137, 2)]"
167,aduz,"[(1, 1)]"
168,entendo,"[(1, 2)]"
169,afirmação,"[(1, 1), (37, 1), (98, 1)]"
170,difamatória,"[(1, 1), (137, 1)]"
171,concurso,"[(1, 1), (50, 1)]"
172,chegando,"[(1, 1), (111, 1)]"
173,máxima,"[(1, 1), (71, 1)]"
174,outubro,"[(1, 1), (37, 1)]"
175,encontradas,"[(1, 1)]"
176,paredes,"[(1, 1)]"
177,banheiro,"[(1, 1), (5, 1), (29, 1)]"
178,campus,"[(1, 1)]"
179,seguintes,"[(1, 1), (56, 1), (112, 1), (126, 1)]"
180,pichações,"[(1, 2)]"
181,aqui,"[(1, 1), (5, 1), (27, 1), (28, 1), (34, 1), (47, 1), (51, 2), (56, 1), (59, 1), (76, 1), (86, 2), (93, 1), (94, 1), (99, 1), (105, 2), (117, 1), (118, 2), (121, 1), (126, 1), (137, 1)]"
182,gente,"[(1, 1), (5, 1), (10, 1), (15, 1), (50, 4), (54, 1), (56, 5), (63, 1), (66, 1), (69, 1), (70, 4), (94, 6), (98, 2), (105, 2), (107, 1), (111, 1), (118, 24), (129, 1), (134, 1), (137, 5), (139, 1)]"
183,inteligente,"[(1, 1), (140, 1)]"
184,branca,"[(1, 1), (70, 1), (119, 4)]"
185,cotas,"[(1, 2), (51, 3)]"
186,pra,"[(1, 1), (56, 2), (70, 1), (94, 1), (99, 2), (118, 1), (133, 2)]"
187,macacos,"[(1, 1)]"
188,cotistas,"[(1, 1)]"
189,fdrp,"[(1, 1)]"
190,após,"[(1, 1), (4, 1), (5, 2), (9, 1), (10, 1), (16, 2), (29, 1), (35, 1), (37, 1), (45, 1), (52, 1), (65, 1), (69, 1), (70, 3), (91, 6), (94, 1), (98, 1), (101, 1), (109, 1), (111, 1), (118, 1), (120, 1), (121, 1), (122, 1), (123, 1), (125, 1), (126, 1), (134, 1), (136, 2), (139, 1), (141, 2)]"
191,repercussão,"[(1, 1), (9, 1), (19, 1), (29, 1), (50, 2), (70, 1), (98, 1), (119, 1), (120, 1), (122, 1), (136, 1)]"
192,gerada,"[(1, 1)]"
193,administração,"[(1, 1), (2, 1), (18, 2), (35, 1), (75, 2), (89, 1), (133, 1)]"
194,criou,"[(1, 1), (16, 1), (98, 1)]"
